,LINK_ID,HOUR,SPEED
651,4130021400,20,19.833333333333332
652,4130021400,21,19.833333333333332
653,4130021400,22,19.833333333333332
654,4130021400,23,19.833333333333332
655,4130021600,0,40.0
656,4130021600,1,40.0
657,4130021600,2,40.0
658,4130021600,3,40.0
659,4130021600,4,40.0
660,4130021600,5,40.0
661,4130021600,6,30.5
662,4130021600,7,26.5
663,4130021600,8,26.0
664,4130021600,9,26.0
665,4130021600,10,23.75
666,4130021600,11,21.0
667,4130021600,12,20.75
668,4130021600,13,25.333333333333332
669,4130021600,14,21.25
670,4130021600,15,21.25
671,4130021600,16,21.25
672,4130021600,17,21.25
673,4130021600,18,21.25
674,4130021600,19,14.75
675,4130021600,20,21.25
676,4130021600,21,21.25
677,4130021600,22,21.25
678,4130021600,23,21.25
679,4130021700,0,39.75
680,4130021700,1,39.75
681,4130021700,2,39.75
682,4130021700,3,39.75
683,4130021700,4,39.75
684,4130021700,5,39.75
685,4130021700,6,35.25
686,4130021700,7,33.75
687,4130021700,8,33.75
688,4130021700,9,33.75
689,4130021700,10,32.75
690,4130021700,11,30.75
691,4130021700,12,29.25
692,4130021700,13,30.333333333333332
693,4130021700,14,28.75
694,4130021700,15,28.75
695,4130021700,16,28.75
696,4130021700,17,28.75
697,4130021700,18,28.75
698,4130021700,19,22.5
699,4130021700,20,28.75
700,4130021700,21,28.75
701,4130021700,22,28.75
702,4130021700,23,28.75
703,4130021900,0,61.0
704,4130021900,1,61.5
705,4130021900,2,64.1
706,4130021900,3,62.6
707,4130021900,4,62.7
708,4130021900,5,63.3
709,4130021900,6,60.8
710,4130021900,7,64.4
711,4130021900,8,56.1
712,4130021900,9,56.6
713,4130021900,10,57.3
714,4130021900,11,62.2
715,4130021900,12,53.7
716,4130021900,13,55.44444444444444
717,4130021900,14,56.7
718,4130021900,15,57.8
719,4130021900,16,58.3
720,4130021900,17,56.7
721,4130021900,18,53.9
722,4130021900,19,59.9
723,4130021900,20,57.8
724,4130021900,21,64.4
725,4130021900,22,61.2
726,4130021900,23,63.4
727,4130022000,0,62.0
728,4130022000,1,62.0
729,4130022000,2,61.9
730,4130022000,3,60.5
731,4130022000,4,60.3
732,4130022000,5,60.7
733,4130022000,6,57.4
734,4130022000,7,57.6
735,4130022000,8,55.6
736,4130022000,9,59.9
737,4130022000,10,51.2
738,4130022000,11,57.1
739,4130022000,12,56.0
740,4130022000,13,55.333333333333336
741,4130022000,14,57.2
742,4130022000,15,53.2
743,4130022000,16,58.1
744,4130022000,17,50.8
745,4130022000,18,53.9
746,4130022000,19,56.2
747,4130022000,20,61.7
748,4130022000,21,60.6
749,4130022000,22,61.4
750,4130022000,23,61.1
751,4130022100,0,35.0
752,4130022100,1,35.0
753,4130022100,2,35.0
754,4130022100,3,35.0
755,4130022100,4,35.0
756,4130022100,5,35.0
757,4130022100,6,27.8
